Date of Demolition,Locality,District,Area,Housing Units,People left Homeless,Minors left Homeless,Type Of Structure
2023-02-12,Fasayil al-Wusta,Jericho,west-bank,1,10,5,Residental
2023-02-12,al-Buweib,Hebron,west-bank,1,0,0,Non Resedential
2023-02-12,Fasayil al-Wusta,Jericho,west-bank,8,0,0,Non Resedential
2023-02-02,Duma,Nablus,west-bank,1,8,5,Residental
2023-02-02,Duma,Nablus,west-bank,3,15,8,Residental
2023-02-01,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2023-02-01,Deir Ballut,Salfit,west-bank,2,0,0,Non Resedential
2023-02-01,al-Kasarat,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,4,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,3,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,4,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,4,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2023-01-25,'Ein a-Duyuk a-Tahta,Jericho,west-bank,8,0,0,Non Resedential
2023-01-25,Kh. Ma'in,Hebron,west-bank,2,0,0,Non Resedential
2023-01-25,Nahhalin,Bethlehem,west-bank,1,2,0,Residental
2023-01-25,Kh. Ma'in,Hebron,west-bank,1,0,0,Non Resedential
2023-01-23,Hablah,Qalqiliya,west-bank,1,0,0,Non Resedential
2023-01-23,a-Za'ayem,al-Quds,west-bank,3,0,0,Non Resedential
2023-01-23,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-23,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-22,Irtas,Bethlehem,west-bank,2,0,0,Non Resedential
2023-01-18,al-Jiftlik,Jericho,west-bank,1,2,0,Residental
2023-01-18,al-Jiftlik,Jericho,west-bank,3,0,0,Non Resedential
2023-01-18,al-Jiftlik,Jericho,west-bank,1,7,5,Residental
2023-01-18,al-Jiftlik,Jericho,west-bank,1,0,0,Non Resedential
2023-01-18,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,0,0,Non Resedential
2023-01-18,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,0,0,Residental
2023-01-18,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,2,0,0,Non Resedential
2023-01-18,Kafr Laqif,Qalqiliya,west-bank,1,0,0,Non Resedential
2023-01-18,al-Funduq,Qalqiliya,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,3,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,2,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,2,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,2,0,0,Non Resedential
2023-01-16,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-16,Shuyukh al-'Arrub,Hebron,west-bank,1,0,0,Non Resedential
2023-01-12,Duma,Nablus,west-bank,1,0,0,Non Resedential
2023-01-11,'Ein Samia,Ramallah and al-Bira,west-bank,1,6,0,Residental
2023-01-11,a-Nabi Elyas,Qalqiliya,west-bank,2,0,0,Non Resedential
2023-01-11,al-Baq'ah (Hebron),Hebron,west-bank,1,0,0,Residental
2023-01-11,Khalet al-Furn,Hebron,west-bank,1,6,4,Residental
2023-01-11,al-Baq'ah (Hebron),Hebron,west-bank,1,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,1,0,0,Residental
2023-01-10,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,3,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-10,'Anata,al-Quds,west-bank,3,0,0,Non Resedential
2023-01-10,'Ein a-Duyuk a-Tahta,Jericho,west-bank,3,0,0,Non Resedential
2023-01-10,al-'Auja,Jericho,west-bank,4,0,0,Non Resedential
2023-01-10,Kafr a-Dik,Salfit,west-bank,1,3,0,Residental
2023-01-10,'Anata,al-Quds,west-bank,3,0,0,Non Resedential
2023-01-09,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential
2023-01-05,Duma,Nablus,west-bank,1,0,0,Non Resedential
2023-01-05,Duma,Nablus,west-bank,1,0,0,Non Resedential
2023-01-05,Duma,Nablus,west-bank,1,0,0,Non Resedential
2023-01-05,Duma,Nablus,west-bank,4,21,10,Residental
2023-01-05,Duma,Nablus,west-bank,5,0,0,Non Resedential
2023-01-05,Hebron,Hebron,west-bank,1,0,0,Non Resedential
2023-01-04,al-Mughayir,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2023-01-04,al-Mughayir,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2023-01-04,al-'Auja,Jericho,west-bank,1,0,0,Non Resedential
2023-01-04,al-Khader,Bethlehem,west-bank,1,0,0,Non Resedential
2023-01-03,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential
2023-01-03,She'b al-Batem,Hebron,west-bank,1,10,4,Residental
2023-01-03,She'b al-Batem,Hebron,west-bank,4,0,0,Non Resedential
2023-01-03,She'b al-Batem,Hebron,west-bank,1,9,4,Residental
2023-01-03,She'b al-Batem,Hebron,west-bank,1,0,0,Non Resedential
2023-01-03,She'b al-Batem,Hebron,west-bank,1,9,3,Residental
2023-01-03,She'b al-Batem,Hebron,west-bank,2,0,0,Non Resedential
2023-01-03,Kh. Ma'in,Hebron,west-bank,1,0,0,Residental
2023-01-03,Kh. Ma'in,Hebron,west-bank,1,0,0,Non Resedential
2023-01-03,She'b al-Batem,Hebron,west-bank,1,8,1,Residental
2023-01-03,She'b al-Batem,Hebron,west-bank,1,0,0,Non Resedential
2023-01-03,Kh. a-Safai al-Foqa,Hebron,west-bank,1,0,0,Non Resedential
2022-12-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Non Resedential
2022-12-27,Immatin,Qalqiliya,west-bank,1,0,0,Non Resedential
2022-12-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Non Resedential
2022-12-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Non Resedential
2022-12-27,Dura,Hebron,west-bank,2,0,0,Non Resedential
2022-12-26,Qalqas,Hebron,west-bank,4,0,0,Non Resedential
2022-12-22,Deir Sharaf,Nablus,west-bank,1,0,0,Non Resedential
2022-12-22,Deir Sharaf,Nablus,west-bank,1,0,0,Non Resedential
2022-12-21,Battir,Bethlehem,west-bank,1,0,0,Non Resedential
2022-12-21,Jinsafut,Qalqiliya,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Ma'in,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Khilet a-Dabe',Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,a-Tuwani,Hebron,west-bank,1,0,0,Non Resedential
2022-12-20,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-12-19,Jericho,Jericho,west-bank,1,0,0,Non Resedential
2022-12-19,Jericho,Jericho,west-bank,3,0,0,Non Resedential
2022-12-15,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential
2022-12-15,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential
2022-12-15,Khalet al-Furn,Hebron,west-bank,1,0,0,Non Resedential
2022-12-15,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2022-12-15,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2022-12-15,Farsh al-Hawa,Hebron,west-bank,1,0,0,Residental
2022-12-14,Um a-Rihan,Jenin,west-bank,1,0,0,Non Resedential
2022-12-14,Husan,Bethlehem,west-bank,1,0,0,Non Resedential
2022-12-13,al-Jiftlik,Jericho,west-bank,1,7,3,Residental
2022-12-13,Furush Beit Dajan,Nablus,west-bank,1,0,0,Residental
2022-12-13,al-Jib,al-Quds,west-bank,2,0,0,Non Resedential
2022-12-13,al-Jib,al-Quds,west-bank,2,0,0,Non Resedential
2022-12-13,Furush Beit Dajan,Nablus,west-bank,1,0,0,Residental
2022-12-13,al-Jib,al-Quds,west-bank,1,0,0,Non Resedential
2022-12-13,al-Jib,al-Quds,west-bank,2,0,0,Non Resedential
2022-12-13,al-Jiftlik,Jericho,west-bank,6,0,0,Non Resedential
2022-12-13,al-Jiftlik,Jericho,west-bank,1,0,0,Residental
2022-12-13,al-Jiftlik,Jericho,west-bank,1,12,4,Residental
2022-12-13,al-Jiftlik,Jericho,west-bank,2,0,0,Residental
2022-12-12,Kh. a-Deir,Bethlehem,west-bank,2,0,0,Non Resedential
2022-12-12,Tekoa,Bethlehem,west-bank,1,0,0,Non Resedential
2022-12-11,Sinjil,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,2,0,Residental
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,12,7,Residental
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,10,8,Residental
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2022-12-08,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,3,1,Residental
2022-12-06,Nahhalin,Bethlehem,west-bank,1,0,0,Non Resedential
2022-12-06,Birin,Hebron,west-bank,1,0,0,Residental
2022-12-06,Kh. a-Safai al-Foqa,Hebron,west-bank,2,0,0,Non Resedential
2022-12-06,a-Sawiyah,Nablus,west-bank,1,0,0,Non Resedential
2022-12-05,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2022-12-05,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2022-12-05,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2022-12-05,Idhna,Hebron,west-bank,1,0,0,Non Resedential
2022-12-05,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2022-12-01,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,2,0,Residental
2022-12-01,Qalandia,al-Quds,west-bank,5,0,0,Non Resedential
2022-12-01,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential
2022-12-01,Kh. Tatrit ('Arab al-Freijat),Hebron,west-bank,1,0,0,Residental
2022-11-30,Lifjim,Nablus,west-bank,1,8,3,Residental
2022-11-30,Lifjim,Nablus,west-bank,1,0,0,Non Resedential
2022-11-30,Lifjim,Nablus,west-bank,1,7,5,Residental
2022-11-30,Lifjim,Nablus,west-bank,1,0,0,Non Resedential
2022-11-30,Lifjim,Nablus,west-bank,1,4,1,Residental
2022-11-30,Lifjim,Nablus,west-bank,2,0,0,Non Resedential
2022-11-30,Lifjim,Nablus,west-bank,4,0,0,Non Resedential
2022-11-30,Lifjim,Nablus,west-bank,1,0,0,Non Resedential
2022-11-29,'Anata,al-Quds,west-bank,1,0,0,Residental
2022-11-29,'Anata,al-Quds,west-bank,1,0,0,Residental
2022-11-29,Hizma,al-Quds,west-bank,1,0,0,Non Resedential
2022-11-29,'Anata,al-Quds,west-bank,1,0,0,Residental
2022-11-29,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,5,3,Residental
2022-11-29,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,2,0,Residental
2022-11-28,Khalet al-Furn,Hebron,west-bank,1,0,0,Non Resedential
2022-11-28,Hebron,Hebron,west-bank,1,7,5,Residental
2022-11-28,Hebron,Hebron,west-bank,1,9,7,Residental
2022-11-28,Kafr a-Dik,Salfit,west-bank,1,0,0,Residental
2022-11-28,al-Khalayleh,al-Quds,west-bank,5,0,0,Non Resedential
2022-11-28,al-Khalayleh,al-Quds,west-bank,1,0,0,Non Resedential
2022-11-24,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-11-24,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-11-24,'Atarah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-11-24,'Atarah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-11-24,'Atarah,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2022-11-24,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-11-23,Qibyah,Ramallah and al-Bira,west-bank,1,0,0,Residental
2022-11-23,Qibyah,Ramallah and al-Bira,west-bank,1,0,0,Residental
2022-11-23,Qibyah,Ramallah and al-Bira,west-bank,1,0,0,Residental
2022-11-23,Qibyah,Ramallah and al-Bira,west-bank,1,0,0,Residental
2022-11-23,Kh. a-Safai al-Foqa,Hebron,west-bank,1,0,0,Non Resedential
2022-11-23,al-Khader,Bethlehem,west-bank,1,0,0,Non Resedential
2022-11-23,al-Khader,Bethlehem,west-bank,1,6,2,Residental
2022-11-21,Duma,Nablus,west-bank,4,0,0,Non Resedential
2022-11-21,Duma,Nablus,west-bank,2,17,9,Residental
2022-11-21,Jayus,Qalqiliya,west-bank,1,0,0,Non Resedential
2022-11-21,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential
2022-11-21,Duma,Nablus,west-bank,1,0,0,Non Resedential
2022-11-17,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential
2022-11-16,'Azzun 'Atmah,Qalqiliya,west-bank,1,0,0,Residental
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Residental
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Non Resedential
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Residental
2022-11-14,Tarqumya,Hebron,west-bank,1,5,3,Residental
2022-11-14,Tarqumya,Hebron,west-bank,1,2,0,Residental
2022-11-14,Tarqumya,Hebron,west-bank,6,0,0,Non Resedential
2022-11-14,Kh. Jamrurah,Hebron,west-bank,9,0,0,Non Resedential
2022-11-14,al-Maniyah,Bethlehem,west-bank,1,0,0,Residental
2022-11-14,Qarawat Bani Hassan,Salfit,west-bank,1,0,0,Non Resedential
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,5,1,Residental
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,2,1,Residental
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,7,5,Residental
2022-11-13,'Arab al-'Anani wa al-Jabour,Salfit,west-bank,1,0,0,Non Resedential
2022-11-09,Khalet al-Furn,Hebron,west-bank,3,0,0,Non Resedential
2022-11-07,Jericho,Jericho,west-bank,2,0,0,Non Resedential
2022-11-07,Qibyah,Ramallah and al-Bira,west-bank,1,1,0,Residental
2022-11-07,Jericho,Jericho,west-bank,1,0,0,Non Resedential
2022-11-07,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential
2022-11-03,al-Birah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-11-03,Bruqin,Salfit,west-bank,1,0,0,Non Resedential
2022-11-03,Bruqin,Salfit,west-bank,1,0,0,Non Resedential
2022-11-03,'Arab al-Freijat,Hebron,west-bank,3,0,0,Non Resedential
2022-11-03,'Arab al-Freijat,Hebron,west-bank,1,0,0,Non Resedential
2022-11-03,Beitin,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential
2022-11-02,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Non Resedential
2022-11-02,Jalbun,Jenin,west-bank,1,0,0,Residental
2022-11-02,Jalbun,Jenin,west-bank,1,4,2,Residental
2022-10-31,Um Lasafa,Hebron,west-bank,1,0,0,Residental
2022-10-31,al-Baq'ah (Hebron),Hebron,west-bank,3,0,0,Residental
2022-10-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,1,0,0,Residental
2022-10-27,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,3,0,0,Non Resedential
2022-10-26,Jericho,Jericho,west-bank,6,0,0,Non Resedential
2022-10-26,Jericho,Jericho,west-bank,4,0,0,Non Resedential
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,2,0,0,Non Resedential
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,4,0,0,Non Resedential
2022-10-26,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Non Resedential
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,2,0,0,Non Resedential
2022-10-25,Bani Na'im,Hebron,west-bank,1,0,0,Residental
2022-10-25,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential
2022-10-25,al-Jawaya,Hebron,west-bank,1,0,0,Non Resedential
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-10-25,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-10-20,Deir Samit,Hebron,west-bank,1,0,0,Residental
2022-10-10,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-10-06,Deir Samit,Hebron,west-bank,1,8,6,Residental
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,1,0,Residental
2022-10-03,Beit 'Einun,Hebron,west-bank,1,7,6,Residental
2022-10-03,a-Rifa'iya,Hebron,west-bank,1,0,0,Residental
2022-10-03,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,5,3,Residental
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,6,4,Residental
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2022-10-03,Hebron,Hebron,west-bank,1,12,6,Residental
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,12,7,Residental
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,4,0,0,Non Resedential
2022-10-03,Wadi a-Siq,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-09-29,Ras al-Jorah,Hebron,west-bank,1,0,0,Non Resedential
2022-09-29,Irtas,Bethlehem,west-bank,2,0,0,Residental
2022-09-29,Irtas,Bethlehem,west-bank,2,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,a-Rakeez,Hebron,west-bank,1,7,4,Residental
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-22,Haris,Salfit,west-bank,1,0,0,Non Resedential
2022-09-21,Kh. al-Marajim,Nablus,west-bank,2,0,0,Non Resedential
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-09-21,'Ein Samia,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential
2022-09-20,Kh. Jamrurah,Hebron,west-bank,1,6,4,Residental
2022-09-20,Kh. Jamrurah,Hebron,west-bank,1,0,0,Non Resedential
2022-09-19,al-'Auja,Jericho,west-bank,4,0,0,Non Resedential
2022-09-19,Jaba',al-Quds,west-bank,1,12,8,Residental
2022-09-19,Jaba',al-Quds,west-bank,5,0,0,Non Resedential
2022-09-19,Jaba',al-Quds,west-bank,1,5,0,Residental
2022-09-19,Jaba',al-Quds,west-bank,4,0,0,Non Resedential
2022-09-19,'Ein a-Duyuk al-Foqa,Jericho,west-bank,4,0,0,Non Resedential
2022-09-19,'Ein a-Duyuk al-Foqa,Jericho,west-bank,1,0,0,Residental
2022-09-14,Kh. Wadi Ejheish,Hebron,west-bank,1,0,0,Non Resedential
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential
2022-09-14,Rujeib,Nablus,west-bank,1,0,0,Non Resedential
2022-09-14,a-Rifa'iya,Hebron,west-bank,1,0,0,Non Resedential
2022-09-13,Jaba',al-Quds,west-bank,2,0,0,Non Resedential
2022-09-08,Kh. Tana,Nablus,west-bank,1,6,1,Residental
2022-09-08,Kh. Tana,Nablus,west-bank,2,0,0,Non Resedential
2022-09-07,'Anata,al-Quds,west-bank,4,0,0,Non Resedential
2022-09-07,'Anata,al-Quds,west-bank,3,0,0,Non Resedential
2022-09-07,'Anata,al-Quds,west-bank,3,0,0,Non Resedential
2022-09-06,al-Khader,Bethlehem,west-bank,1,7,5,Residental
2022-09-06,al-Khader,Bethlehem,west-bank,4,0,0,Non Resedential
2022-09-06,Beit Jala,Bethlehem,west-bank,1,5,1,Residental
2022-09-01,Tekoa,Bethlehem,west-bank,1,0,0,Non Resedential
2022-08-31,al-Halqum,Bethlehem,west-bank,1,0,0,Residental
2022-08-29,Jericho,Jericho,west-bank,1,0,0,Non Resedential
2022-08-25,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,2,0,0,Non Resedential
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,5,1,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,4,0,0,Non Resedential
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,5,3,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential
2022-08-24,Huwarah,Nablus,west-bank,1,0,0,Non Resedential
2022-08-24,Huwarah,Nablus,west-bank,1,0,0,Non Resedential
2022-08-24,a-Zbeidat,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Residental
2022-08-24,Wadi al-Ahmar,Jericho,west-bank,1,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,2,0,Residental
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2022-08-22,Farasin,Jenin,west-bank,1,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,10,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,6,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,8,6,Residental
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,4,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,2,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Residental
2022-08-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,4,2,Residental
2022-08-19,al-Khader,Bethlehem,west-bank,1,0,0,Non Resedential
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-08-17,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-08-17,Bruqin,Salfit,west-bank,1,0,0,Non Resedential
2022-08-16,Kh. 'Allan,Jericho,west-bank,2,11,7,Residental
2022-08-16,Kh. 'Allan,Jericho,west-bank,7,0,0,Non Resedential
2022-08-16,Kh. 'Allan,Jericho,west-bank,1,1,0,Residental
2022-08-15,Kh. a-Ras al-Ahmar,Tubas,west-bank,1,0,0,Non Resedential
2022-08-13,Kafr a-Dik,Salfit,west-bank,1,0,0,Non Resedential
2022-08-10,Wadi al-Ahmar,Jericho,west-bank,2,0,0,Residental
2022-08-10,Husan,Bethlehem,west-bank,1,0,0,Non Resedential
2022-08-10,al-'Auja,Jericho,west-bank,1,8,3,Residental
2022-08-10,al-'Auja,Jericho,west-bank,3,0,0,Non Resedential
2022-08-10,al-Mas'udiyah,Nablus,west-bank,1,0,0,Non Resedential
2022-08-10,'Anata,al-Quds,west-bank,1,0,0,Residental
2022-08-09,Beit Fajjar,Bethlehem,west-bank,1,6,4,Residental
2022-08-08,Tarqumya,Hebron,west-bank,1,0,0,Non Resedential
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Residental
2022-08-08,al-Buweib,Hebron,west-bank,1,7,5,Residental
2022-08-08,Jaba',al-Quds,west-bank,1,12,8,Residental
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential
2022-08-08,Jaba',al-Quds,west-bank,1,4,0,Residental
2022-08-08,Jaba',al-Quds,west-bank,1,0,0,Non Resedential
2022-08-04,Rantis,Ramallah and al-Bira,west-bank,2,0,0,Non Resedential
2022-08-03,Tekoa,Bethlehem,west-bank,1,0,0,Non Resedential
